id,tier,menu_id,menu_name,menu_type,mitig_HP,mitig_MP,mitig_COND,notes
1,Q0,STD_01,高たんぱく修復飯,寄り,1,0,1,※基礎自然減（負の値）に対する軽減量。
2,Q0,STD_02,滋養強壮（B群/鉄）,寄り,0,2,0,※基礎自然減（負の値）に対する軽減量。
3,Q0,STD_03,腸活・発酵定食,寄り,0,0,2,※基礎自然減（負の値）に対する軽減量。
4,Q0,STD_04,和定食バランス,バランス,1,0,1,※基礎自然減（負の値）に対する軽減量。
5,Q0,EXT_05,水分・電解質リカバリ,極,0,0,2,※基礎自然減（負の値）に対する軽減量。
6,Q0,EXT_06,糖質ローディング,極,0,2,0,※基礎自然減（負の値）に対する軽減量。
7,Q0,EXT_07,軽量・減量メニュー,極,0,0,2,※基礎自然減（負の値）に対する軽減量。
8,Q0,EXT_08,ご褒美メシ（メンタル特化）,極,0,2,0,※基礎自然減（負の値）に対する軽減量。
9,Q1,STD_01,高たんぱく修復飯,寄り,3,0,2,※基礎自然減（負の値）に対する軽減量。
10,Q1,STD_02,滋養強壮（B群/鉄）,寄り,1,3,1,※基礎自然減（負の値）に対する軽減量。
11,Q1,STD_03,腸活・発酵定食,寄り,1,1,3,※基礎自然減（負の値）に対する軽減量。
12,Q1,STD_04,和定食バランス,バランス,2,1,2,※基礎自然減（負の値）に対する軽減量。
13,Q1,EXT_05,水分・電解質リカバリ,極,1,0,4,※基礎自然減（負の値）に対する軽減量。
14,Q1,EXT_06,糖質ローディング,極,0,4,1,※基礎自然減（負の値）に対する軽減量。
15,Q1,EXT_07,軽量・減量メニュー,極,0,1,4,※基礎自然減（負の値）に対する軽減量。
16,Q1,EXT_08,ご褒美メシ（メンタル特化）,極,0,5,0,※基礎自然減（負の値）に対する軽減量。
17,Q2,STD_01,高たんぱく修復飯,寄り,5,0,3,※基礎自然減（負の値）に対する軽減量。
18,Q2,STD_02,滋養強壮（B群/鉄）,寄り,2,5,1,※基礎自然減（負の値）に対する軽減量。
19,Q2,STD_03,腸活・発酵定食,寄り,1,2,5,※基礎自然減（負の値）に対する軽減量。
20,Q2,STD_04,和定食バランス,バランス,3,2,3,※基礎自然減（負の値）に対する軽減量。
21,Q2,EXT_05,水分・電解質リカバリ,極,1,0,7,※基礎自然減（負の値）に対する軽減量。
22,Q2,EXT_06,糖質ローディング,極,0,7,1,※基礎自然減（負の値）に対する軽減量。
23,Q2,EXT_07,軽量・減量メニュー,極,0,1,7,※基礎自然減（負の値）に対する軽減量。
24,Q2,EXT_08,ご褒美メシ（メンタル特化）,極,0,8,0,※基礎自然減（負の値）に対する軽減量。
25,Q3,STD_01,高たんぱく修復飯,寄り,7,0,4,※基礎自然減（負の値）に対する軽減量。
26,Q3,STD_02,滋養強壮（B群/鉄）,寄り,3,7,1,※基礎自然減（負の値）に対する軽減量。
27,Q3,STD_03,腸活・発酵定食,寄り,1,3,7,※基礎自然減（負の値）に対する軽減量。
28,Q3,STD_04,和定食バランス,バランス,4,3,4,※基礎自然減（負の値）に対する軽減量。
29,Q3,EXT_05,水分・電解質リカバリ,極,1,0,10,※基礎自然減（負の値）に対する軽減量。
30,Q3,EXT_06,糖質ローディング,極,0,10,1,※基礎自然減（負の値）に対する軽減量。
31,Q3,EXT_07,軽量・減量メニュー,極,0,1,10,※基礎自然減（負の値）に対する軽減量。
32,Q3,EXT_08,ご褒美メシ（メンタル特化）,極,0,11,0,※基礎自然減（負の値）に対する軽減量。
33,Q4,STD_01,高たんぱく修復飯,寄り,9,0,5,※基礎自然減（負の値）に対する軽減量。
34,Q4,STD_02,滋養強壮（B群/鉄）,寄り,4,9,1,※基礎自然減（負の値）に対する軽減量。
35,Q4,STD_03,腸活・発酵定食,寄り,1,4,9,※基礎自然減（負の値）に対する軽減量。
36,Q4,STD_04,和定食バランス,バランス,5,4,5,※基礎自然減（負の値）に対する軽減量。
37,Q4,EXT_05,水分・電解質リカバリ,極,1,0,13,※基礎自然減（負の値）に対する軽減量。
38,Q4,EXT_06,糖質ローディング,極,0,13,1,※基礎自然減（負の値）に対する軽減量。
39,Q4,EXT_07,軽量・減量メニュー,極,0,1,13,※基礎自然減（負の値）に対する軽減量。
40,Q4,EXT_08,ご褒美メシ（メンタル特化）,極,0,14,0,※基礎自然減（負の値）に対する軽減量。